state_name,county_name,fips_code,report_date,cases_per_100K_7_day_count_change,percent_test_results_reported_positive_last_7_days,community_transmission_level
Alabama,Barbour County,01005,2021/11/10,60.760,1.50,substantial
Alabama,Chilton County,01021,2021/11/10,114.790,7.51,high
Alabama,Choctaw County,01023,2021/11/10,suppressed,3.33,moderate
Alabama,Clay County,01027,2021/11/10,83.110,2.94,substantial
Alabama,Cleburne County,01029,2021/11/10,134.140,12.00,high
Alabama,Colbert County,01033,2021/11/10,104.990,6.07,high
Alabama,Henry County,01067,2021/11/10,104.620,5.88,high
Alabama,Jefferson County,01073,2021/11/10,31.130,3.22,moderate
Alabama,Lauderdale County,01077,2021/11/10,115.390,7.61,high
Alabama,Lee County,01081,2021/11/10,39.500,3.89,moderate
Alabama,Limestone County,01083,2021/11/10,135.470,5.08,high
Alabama,Marengo County,01091,2021/11/10,74.220,5.31,substantial
Alabama,Monroe County,01099,2021/11/10,suppressed,1.84,moderate
Alabama,Montgomery County,01101,2021/11/10,6.620,3.69,low
Alabama,Randolph County,01111,2021/11/10,suppressed,1.28,moderate
Alabama,Shelby County,01117,2021/11/10,60.170,4.32,substantial
Alaska,Bethel CA,02050,2021/11/10,"1,327.100",3.70,high
Alaska,Bristol Bay Borough,02060,2021/11/10,0.000,,low
Alaska,Dillingham CA,02070,2021/11/10,suppressed,,high
Alaska,Fairbanks North Star Borough,02090,2021/11/10,521.430,8.77,high
Alaska,Kodiak Island Borough,02150,2021/11/10,292.350,0.00,high
Alaska,Sitka Cty&Bor,02220,2021/11/10,suppressed,3.03,substantial
Alaska,Yukon-Koyukuk CA,02290,2021/11/10,726.580,8.33,high
Arizona,Apache County,04001,2021/11/10,315.770,11.71,high
Arizona,Maricopa County,04013,2021/11/10,317.230,12.18,high
Arkansas,Benton County,05007,2021/11/10,115.710,8.90,high
Arkansas,Clay County,05021,2021/11/10,137.450,1.45,high
Arkansas,Columbia County,05027,2021/11/10,suppressed,2.13,moderate
Arkansas,Crawford County,05033,2021/11/10,107.500,12.68,high
Arkansas,Faulkner County,05045,2021/11/10,75.390,4.82,substantial
Arkansas,Fulton County,05049,2021/11/10,184.340,1.39,high
Arkansas,Grant County,05053,2021/11/10,suppressed,0.00,moderate
Arkansas,Independence County,05063,2021/11/10,148.050,3.15,high
Arkansas,Izard County,05065,2021/11/10,154.080,0.00,high
Arkansas,Lincoln County,05079,2021/11/10,suppressed,0.95,moderate
Arkansas,Newton County,05101,2021/11/10,suppressed,,moderate
Arkansas,Phillips County,05107,2021/11/10,67.480,6.98,substantial
Arkansas,Polk County,05113,2021/11/10,suppressed,13.64,high
Arkansas,Prairie County,05117,2021/11/10,suppressed,,moderate
Arkansas,Pulaski County,05119,2021/11/10,67.870,3.96,substantial
Arkansas,Randolph County,05121,2021/11/10,105.800,,high
Arkansas,St. Francis County,05123,2021/11/10,128.030,3.29,high
